"","NewTitle","Release_Date.x","Number","Movie_Title","Movie_Type","National_Spectator_Number","Running_Time","Revenue","Spectator_Number","Screen_Number","Play_Number","Movie_Category","Release_Date.y","Nationality_First","Distributor","Movie_Rate","Genre_Name","Genre1","Genre3","Genre3","Director_Name","Director1","Director3","Director3","Actor_Name","Actor1","Actor3","Actor3"
"24","2012",2009-11-12,"47 ","2012","장편",5462953,157,38933825000,5396890,876,89119,"일반영화","2009-11-12","미국","한국소니픽쳐스릴리징브에나비스타영화㈜","12세이상관람가",3,"SF","액션","어드벤처",1,"롤랜드 에머리히","","",5,"존 쿠삭","아만다 피트","올리버 플랫"
"2842","완득이",2011-10-20,"48 ","완득이","장편",5310510,107,38533069000,5311232,634,117843,"일반영화","2011-10-20","한국","씨제이이앤엠(주)","12세이상관람가",1,"드라마","","",1,"이한","","",25,"김윤석","유아인","김효숙"
"3725","트랜스포머사라진시대",2014-06-25,"49 ","트랜스포머: 사라진 시대","장편",5295935,165,44013109845,5295929,1602,107884,"일반영화","2014-06-25","미국","씨제이이앤엠(주)","12세이상관람가",3,"액션","SF","어드벤처",1,"마이클 베이","","",5,"마크 월버그","니콜라 펠츠","잭 레이너"
"2957","월드워Z",2013-06-20,"50 ","월드 워 Z","장편",5237525,115,38555356000,5237525,964,100823,"일반영화","2013-06-20","미국","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가",5,"드라마","스릴러","SF",1,"마크 포스터","","",3,"브래드 피트","미레유 에노스","매튜 폭스"
"3619","타워",2012-12-25,"51 ","타워","장편",5181014,121,37654858000,5181014,1255,81147,"일반영화","2012-12-25","한국","씨제이이앤엠(주)","12세이상관람가",1,"드라마","","",1,"김지훈","","",19,"설경구","손예진","김상경"
"1305","말아톤",2005-01-27,"52 ","말아톤","장편",5148022,117,26284943000,4196840,238,59493,"일반영화","2005-01-27","한국","쇼박스㈜미디어플렉스","전체관람가",1,"드라마","","",1,"정윤철","","",13,"조승우","김미숙","이진영"
"3412","추격자",2008-02-14,"53 ","추격자","장편",5071619,123,33986959000,5046096,433,106805,"일반영화","2008-02-14","한국","쇼박스㈜미디어플렉스","청소년관람불가",3,"범죄","스릴러","액션",1,"나홍진","","",21,"송요셉","김윤석","하정우"
"3547","쿵푸팬더2",2011-05-26,"54 ","쿵푸팬더 2","장편",5062722,91,44298708500,5062720,948,101338,"일반영화","2011-05-26","미국","씨제이이앤엠(주)","전체관람가",5,"애니메이션","액션","어드벤처",1,"여인영","","",4,"더스틴 호프만","잭 블랙","안젤리나 졸리"
"3468","캐리비안의해적세상의끝에서",2007-05-23,"55 ","캐리비안의 해적: 세상의 끝에서","장편",4966571,168,29133447500,4571229,953,78007,"일반영화","2007-05-23","미국","한국소니픽쳐스릴리징브에나비스타영화㈜","12세이상관람가",4,"액션","코미디","어드벤처",1,"고어 버빈스키","","",2,"조니 뎁","올랜도 블룸",""
"2245","스파이더맨3",2007-05-01,"56 ","스파이더맨 3","장편",4935660,139,29511658000,4592309,806,79966,"일반영화","2007-05-01","미국","한국소니픽쳐스릴리징브에나비스타영화㈜","12세이상관람가",2,"액션","SF","",1,"샘 레이미","","",2,"토비 맥과이어","커스틴 던스트",""
