Movie_Title	Release_Date	Nationality_First	Nationality	Production_Company	Distributor	Movie_Rate	Genre	Director	Actor
소림사 2014	2014-08-28	중국	중국		(주)소나무픽쳐스	청소년관람불가	드라마,액션,판타지	나영창	석행우
헬리	2014-08-28	멕시코	멕시코,프랑스,독일,네덜란드		(주)컴퍼니엘	청소년관람불가	드라마	아마트 에스칼란테	아만도 에스피티아,안드레아 베르가라,케니 존스턴
블랙 키스	2014-08-28	일본	일본		시네마 뉴원	청소년관람불가	스릴러	테즈카 마코토	하시모토 레이카,마츠오카 슌스케,안도 마사노부
더 챔프: 분노의 주먹	2014-08-28	미국	미국		(주)미디어데이	12세이상관람가	드라마	로드 루리	사무엘 L. 잭슨,조쉬 하트넷
썸타는 시호부인	2014-08-28	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	야마우치 다이스케	엔도 시호리,쿠보타 야스나리
심판자	2014-08-28	호주	호주		(주)마인스 엔터테인먼트	15세이상관람가	미스터리,범죄,액션	존 V. 소토	조나단 라파글리아,비바 비앙카,한나 맹간 로렌스
타워 블록	2014-08-28	영국	영국		(주)토러스엔터테인먼트	청소년관람불가	스릴러	제임스 넌,로닌 톰슨	셰리던 스미스,잭 오코넬,랠프 브라운
픽업 아티스트	2014-08-28	한국	한국	자작나무영화사	골든타이드픽처스(주)	청소년관람불가	드라마,기타,멜로/로맨스,코미디	전도한	김대우,한제인,탁호연,최호중,박용범,박정헌,박정호
브릭 맨션: 통제불능 범죄구역	2014-08-27	프랑스	프랑스,캐나다		씨네그루(주)다우기술	15세이상관람가	액션,범죄,드라마	카밀 들라마레	폴 워커,데이빗 벨
더 퍼지 : 거리의 반란	2014-08-27	미국	미국		유니버설픽쳐스인터내셔널 코리아(유)	청소년관람불가	공포(호러),스릴러	제임스 드모나코	프랭크 그릴로,자크 길포드,키엘 산체스
오드토머스	2014-08-27	미국	미국		(주)영화사 빅	15세이상관람가	액션,스릴러,SF,미스터리	스티븐 소머즈	안톤 옐친,윌렘 데포
