Movie_Title	Release_Date	Revenue	Spectator_Number	Screen_Number	Play_Number	Nationality	All_Nationality	Distributor
마스터	2013-07-11	264021800	34571	38	1435	미국	미국	(주)영화사 진진
마스터	2013-07-11	4590500	604	1	14	미국	미국	(주)영화사 진진
마야	2014-09-04	1951028700	265149	295	6295	독일	독일,호주	(주)박수엔터테인먼트
마약전쟁	2014-02-13	2055000	322	1	8	홍콩	홍콩	(주)미디어데이
마오의 라스트 댄서	2011-04-28	284739000	40519	171	4430	호주	호주	(주)에스비에스콘텐츠허브
마을금고 연쇄습격사건	2007-11-14	728085000	115637	203	10396	한국	한국	쇼박스㈜미디어플렉스
마을에 부는 산들바람	2008-07-24	72268500	10972	6	605	일본	일본	(주)스폰지이엔티
마음	2007-05-10	2891500	449	1	24	프랑스	프랑스,이탈리아	스폰지
마음의 속삭임	2008-11-27	9361000	1277	1	42	프랑스	프랑스,이탈리아,서독	㈜영화사 백두대간
마음의 속삭임	2008-11-27	3180000	425	1	15	프랑스	프랑스,이탈리아,서독	㈜영화사 백두대간
마음이...	2006-10-26	4639479300	817893	239	24140	한국	한국	쇼박스㈜미디어플렉스
마음이2	2010-07-21	4631432000	696382	262	20458	한국	한국,중국	롯데쇼핑㈜롯데엔터테인먼트
마이 뉴 파트너	2008-03-06	1699031500	260734	220	15833	한국	한국	(주)엠플러스픽쳐스
마이 라띠마	2013-06-06	49305300	7172	29	932	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
마이 리틀 히어로	2013-01-09	1286203128	183650	341	11663	한국	한국	씨제이이앤엠(주)
마이 마이 신코 이야기	2009-12-10	89534500	13747	31	617	일본	일본	에이원엔터테인먼트
마이 백 페이지	2012-03-15	17127600	2323	9	189	일본	일본	팝엔터테인먼트
마이 베스트 프렌드	2007-05-03	38558500	5763	4	383	프랑스	프랑스	(주)유레카픽쳐스
마이 보이	2014-04-10	22384800	3338	34	461	한국	한국	(주)트리필름
마이 블랙 미니드레스	2011-03-24	2318884500	313953	325	20166	한국	한국	씨제이이앤엠(주)
마이 블랭키	2014-06-04	224525100	32406	111	1108	스페인	스페인,이탈리아,프랑스	(주)마인스 엔터테인먼트
마이 블루베리 나이츠	2008-03-06	1001852500	152987	158	8901	홍콩	홍콩,프랑스	쇼박스㈜미디어플렉스
마이 시스터즈 키퍼	2009-09-10	857395500	118939	170	9985	미국	미국	워너브러더스 (주)
마이 쎄시 걸	2008-10-30	69825500	10448	55	1516	미국	미국	쇼박스㈜미디어플렉스
마이 원 앤 온리	2011-05-19	48993000	6734	21	848	미국	미국	㈜케이디미디어
마이 웨이	2011-12-21	11813839000	1586042	645	29481	한국	한국	에스케이플래닛(주),씨제이이앤엠(주)
마이 웨이	2011-12-21	4181348000	556628	588	22546	한국	한국	에스케이플래닛(주),씨제이이앤엠(주)
마이 제너레이션	2004-12-03	16793500	2559	3	224	한국	한국	아트플러스시네마네트워크
마이 제너레이션	2004-12-03	5759000	1175	2	85	한국	한국	아트플러스시네마네트워크
마이 캡틴 김대출	2006-04-20	663144000	107904	165	6327	한국	한국	(주)스튜디오이쩜영
마이 파더	2007-09-06	5641848000	901055	342	31444	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
마이 프렌즈, 마이 러브	2009-07-23	48288000	6654	2	171	프랑스	프랑스	(주)영화사구안
마이 플레이스	2014-01-30	16789800	2391	21	553	한국	한국	KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
마이애미 대침몰	2014-09-04	5546000	1141	20	30	미국	미국	스크린조이
마이애미 바이스	2006-08-17	2711759500	420706	211	11291	미국	미국	UIP코리아
마이클 잭슨의 디스 이즈 잇	2009-10-28	964994000	128778	176	9931	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
마이클 클레이튼	2007-11-29	824374500	130687	140	6729	미국	미국	롯데쇼핑㈜롯데엔터테인먼트
마인드스케이프	2014-10-23	9960000	1245	3	6	스페인	스페인	오퍼스픽쳐스
마지막 4중주	2013-07-25	810075500	107975	42	3031	미국	미국	(주)티캐스트
마지막 4중주	2013-07-25	3356500	453	2	19	미국	미국	(주)티캐스트
마지막 늑대	2004-04-01	303851500	47731	26	1646	한국	한국	쇼박스㈜미디어플렉스,영화사풍년상회(주)
마지막 밥상	2008-04-11	2410000	372	2	55	한국	한국	㈜기억속의매미,독립영화전용관 인디스페이스
마지막 선물	2008-02-05	1740290500	265362	262	12913	한국	한국	쇼박스㈜미디어플렉스
마진 콜: 24시간, 조작된 진실	2013-01-03	45934500	6342	30	443	미국	미국	(주)팝파트너스
마징카이저	2011-10-27	4087500	632	24	108	일본	일본	팝엔터테인먼트
