"","movie_nm","score","reg_date","contents"
"83","감기","0.0","2013.08.19","최악의영화보는내내 힘들었다 "
"84","죽은 시인의 사회","10.0","2013.08.19","일 년에 두 번씩 방학때마다 보는 영화 바로 죽은 시인의 사회지금도 변화지 않는 우리의 교육 현장 이 영화 내용의 핵심은 교육 방식이다획일적인 주입식 암기식의 범주를 벗어나지 못하고 있는게 문제다서술형 논술형 시험이 끼어들고 있지만 학습 방식은 그대로다키팅 선생의 수업방식은 아직도 요원 "
"85","감기","6.0","2013.08.19"," 년작 더스틴호프만 주연 아웃브레이크 싱크로율 "
"86","용의자X","10.0","2013.08.19","진짜 사랑을 보았다 "
"87","더 테러 라이브","10.0","2013.08.19","분간 쉼없이 관객의 숨통을 조여온다 "
"88","더 테러 라이브","10.0","2013.08.19","스튜디오라는 한정된 장소에서 두시간을 이끌어가기에 충분한 스토리 쫄깃쫄깃 "
"89","더 테러 라이브","10.0","2013.08.19","하정우는 역시 실망시키지 않는다 "
"90","감기","8.0","2013.08.19","연기의 신 박민하 재미있음 근데 혹시 현실에서 저런일이 발생하면 분명 개죽음 있을수도 있겠다라는 생각이 든다 대통령역이 가장 비현실적이었음 "
"91","황금팔을 가진 사나이","9.0","2013.08.19","맥카시광풍이 전미를 강타했던 년대 마약쟁이의 극복기를 다룬 프레밍거의 두둑한 배짱이 놀랍다당시 거의가 약물중독자였던 재즈신에서 시나트라가 약을 안했을리 만무하며 그의 실감나는 연기가너무리얼하여 검열에서 수차례 보류당했다획기전인 오프닝 그래픽은 지금까지 희자되고 셜리만의 모습도 봃수있다 "
"92","숨바꼭질","10.0","2013.08.19","보는 내내 긴장감을 늦출수 없었던 영화 배우분들의 연기력은 말 할것도 없었습니다저는 개인적으로 너무 잼있게 봤네요 강추 입니당 "
"93","설국열차","3.0","2013.08.19","서로 때려죽이다마지막에 코카콜라 북극곰만생각이나는아별로다 "
"94","감기","10.0","2013.08.19","오프닝이 특히 좋았음 "
"95","숨바꼭질","10.0","2013.08.19","억지설정이 좀 거슬리는 부분이 있었지만 문정희배우님의 연기포스와 표정연기는 정말 압권이네요대한민국 배우들 정말 연기력이 각본과 연출력을 넘어서네요 "
"96","감기","5.0","2013.08.19","인물들의 개연성이 부족해 보입디다 납득가지 않는 상황도 적쟎구 연가시보다 낫다라는 얘기듣고 봤으나 영 기억에 남는건 수애정윤희 "
"97","감기","10.0","2013.08.19","영화 평점이 이상이어야 할 것 같아서 점스토리도 괜찮고 일단 연기들을 워낙 잘해서 재미있었음 논리도 좋고스펙타클한 재난영화는 아니지만 정치 사회 가족애 등 좋았습니다차인표도 대박 멋져힝 "
"98","감기","10.0","2013.08.19","한번더 보러 가고 싶네요 감기에 나오는 배우들 모두 연기력 대단합니다 보는내내 지루하지 않고 점점 갈수록 집중하면서 봤던거 같아요 이런좋은영화 감사합니다ㅠㅠㅠㅠ "
"99","에픽:숲속의 전설","10.0","2013.08.19","참 좋은 영화였어요아이들도 어른도 좋아할 영화 "
"100","설국열차","7.0","2013.08.19","열차는 빠르지만 액션은 느리다 "
"101","더 테러 라이브","7.0","2013.08.19","하정우의 원맨쇼 혼자서 분을 이끌기에는 너무 지루하다 "
"102","에픽:숲속의 전설","6.0","2013.08.19","생각 보다 화려하지 않다 생각보다 재미있지 않다 "
"103","숨바꼭질","9.0","2013.08.19","무섭고 잼어요ㅋㅋㅋㅋ 기대없이 봐서인지 정말 만족ㅋㅋㅋ "
"104","숨바꼭질","6.0","2013.08.19","연기력은 빛났지만 유치하다 스토리의 결핍 현실성 부족 "
"105","감기","6.0","2013.08.19","혁아 이런 쓰레기 영화에 출연하니 좋아 이야기가 전부 억지잖아 김치년 억지를 어거지로 정당화 시킨 개쓰레기영화 ㅋㅋ "
"106","감기","5.0","2013.08.19","무책임하고 이기적인 의사가 사람들을 구하는 구만 개연성 없는 스토리 한국영화 답다 "
"107","숨바꼭질","9.0","2013.08.19","난 개잼존잼심야로보고 집에갈때 무서워죽는줄알았네ㅋㅋㅋㅋㅋ "
"108","감기","6.0","2013.08.19","시나리오대사가 손발이 오그라들던데 "
"109","설국열차","7.0","2013.08.19","배경만 기차일뿐 그닥 새로울 것이 없는 진부한 스토리에 딱히 감동코드가 있는 것도 아니고 그렇다고 액션씬이 기막한 것도 아니고 한마디로 이도저도 아닌 상당히 어정쩡한 영화이다나중해외 개봉한다면 북미에서는 참패 유럽에서는 소폭 흥행이 예상된다카메오도 아니고 해리스는 왜 출연했는지 모르겠다 "
"110","엘리시움","9.0","2013.08.19","소재가 신선해서 많은 생각을 하게 하는 영화였다카리스마 넘치는 조디포스터의 연기가 인상에 남는다 "
"111","감기","10.0","2013.08.19","기대한것 이상의 영화 "
"112","숨바꼭질","2.0","2013.08.19","연기 잘하면 뭐히냐영화 시나리오가 이따구 인데별 개도 아깝다 "
"113","감기","8.0","2013.08.19","만약 현실에서 영화처럼 대응하면 큰일나겠지만 영화이니만큼 충분히 공감이 가고다른 블록버스터급 재난영화에서 봐다 가족애는 빠지지 않는다는 점을 생각하면너무 비난만해서는 안될것 같다 그리고 전시작전통제권이 이렇게 중요한지 몰랐다하여간 우리영화도 점점 발전하고 있다는 사실이 뿌듯하게 한다 "
"114","더 테러 라이브","2.0","2013.08.19","실망그러나 한가지 얻은게 있다면 역시욕심으로 인해 망하는군 "
"115","설국열차","3.0","2013.08.19","시사회후 해외언론이 제임스 카메룬감독등과 동등하다고 운운하길래 보았는데억 제작비가 어찌 억달러 제작비를 따라 가겠습니까 솔찍히 실망 홍보도 중요하지만 너무 과장이 있어면 안될 것 같읍니다 LTEA 광고와 같다고나 할까 초에 다 된다고 홍보 해 놓고 해보면 실망이 크죠 한국영화에 현주소 임 "
"116","숨바꼭질","9.0","2013.08.19","별 기대없이 봤는데 잼있었어요 놀라는 장면들에선 소리도 꽥 지르고 하니까 더위도 날리고 스트레스도 풀리고 현실성은 없지만 잼있습니다 "
"117","감기","8.0","2013.08.19","기대 안하고 봤는데긴박함이 영화 끝날때까지 진행되고 어설픔이 하나도 없음에 가장 놀랬네요 물론 헐리웃에서 너무 많이본 뻔한 스토리라 정말로 기대 안했는데 꽤 괜찮았어요 한가지 아역이 너무 식상한 얼굴이라 감동이 떨어진게 가장 아쉽네요 "
"118","숨바꼭질","5.0","2013.08.19","재미있다연기잘함 "
"119","감기","9.0","2013.08.19","독보적인 재난영화가될듯몰입짱 "
"120","숨바꼭질","1.0","2013.08.19","실망 중반부 이후 코미디로전환 "
"121","숨바꼭질","0.0","2013.08.19","이건정말잼없다 환경설정도 넘 말이 안되고 내용도 없고메세지도 없고억지로 끼워맞추는 요즈음 한국영화 좀재미있어져서 봤는데 이영화 보고 한국영화 수준 다시 떨어졌다정말비추 "
"122","설국열차","9.0","2013.08.19","헐리웃영화에 식상해 있던 나에게 야릇한 느낌을 갖게 해준 영화 호불호가 갈려서 갈등하다가 작금의 현실이 어떻게 녹아있나궁금해서 본 영화보기 잘했고 어린 아이들이 보기엔 좀 잔인함 "
"123","감기","7.0","2013.08.19","연가시 류의 재난 영화를 생각하며 봐서 그런지 기대 안하고 봤는데 예상을 밖으로 괜찮았네요 그래도 등장인물들이 너무 단순하게 묘사된거 같아 아쉽네요 배우들이 연출에 묻힌 느낌이 많이 들었습니다 그래도 차인표씨하고 박민하양의 재발견이었습니다 둘만 눈에 띄더군요ㅎ 많은 기대 안하고 보기 좋은 영화 "
"124","죽지않아","9.0","2013.08.19","웃음도 있으면서 많은 생각을하게 하는 영화 재미있게 봤네요 "
"125","더 테러 라이브","10.0","2013.08.19","시작부터 끝날때까지 긴장하며 봤네요역시 하정우 입니다 "
"126","문라이즈 킹덤","8.0","2013.08.19","내용은 귀엽다 색감이 너무 이쁘다 "
"127","숨바꼭질","10.0","2013.08.19","손현주 문정희 전미선 믿고 보는 배우라는 믿음을 저버리지 않은 영화입니다 상상할수 없었던 반전 더운 주말에 등 이 오싹할정도로 재미나게 봤습니다 "
"128","감기","10.0","2013.08.19","우와 보는내내 눈물도흘리고 집중장난아님 끝나고 한 분을 일어나질못했음너무집중해서 멍 진짜 재밋고 구성도좋고 무조건 추천ㅋ우리나라영화 괴물이후로 재밋게본듯ㅋ "
